item_id,run_id,repetition_index,generated_question,generated_answer,generated_correct_answer,status,error_log,included_in_avg,score_l2_1_contract,score_l2_2_purity,score_l3_total,score_l3_1_internal,score_l3_2_external,score_l4_total,score_l4_1_numeric,score_l4_2_visual,score_l4_3_artifacts,score_l4_4_mqi,score_math_total,score_math_quality,score_math_difficulty,score_math_sympy_verified,score_math_hygiene_score,score_math_is,complexity_math_ops,complexity_inference_steps,complexity_ast_nodes,complexity_loop_depth,student_input_test,student_input_result,exec_time_ms
f42ccccf-9568-4214-bf20-2590ec2e3739,fd60ce1e-d7bf-4401-95bd-6d0eaa29eb99,1,計算 $$[4 + (-94)] \div 9 + |8 \times (-9) - 5|$$ 的值。,,67,PASS,,1,6.0,7.5,20.0,10.0,10.0,20.2,5,3,5,2.2,40.2,0.0,0.0,True,15,5.0,11,4,3158,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.06
0b509a7f-bbbe-4068-8447-e8115cd1a5c1,34db8488-c883-4137-b687-0daf2c6f9262,3,計算 $$[(-19) + 55] \div 9 + |(-7) \times (-10) - 5|$$ 的值。,,69,PASS,,1,6.0,7.5,20.0,10.0,10.0,20.4,5,3,5,2.4,40.4,0.0,0.0,True,15,5.0,12,4,3158,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.06
f6767e39-8221-4a3b-bc36-d42fe6519677,dd30bdb7-d8da-4bc5-b61c-6b327730696c,1,計算 $$[(-1) + 61] \div 6 + |(-3) \times 2 - 5|$$ 的值。,,21,PASS,,1,6.0,7.5,20.0,10.0,10.0,20.2,5,3,5,2.2,40.2,0.0,0.0,True,15,5.0,11,4,3158,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.07
158259f4-bf16-4ad4-af1f-fa1a5c0cd707,dd30bdb7-d8da-4bc5-b61c-6b327730696c,2,計算 $$[(-16) + 6] \div 10 + |2 \times 3 - 5|$$ 的值。,,0,PASS,,1,6.0,7.5,20.0,10.0,10.0,20.0,5,3,5,2.0,40.0,0.0,0.0,True,15,5.0,10,4,3158,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.06
1ba4dff7-ce8d-47f8-bdf0-5d0399030831,dd30bdb7-d8da-4bc5-b61c-6b327730696c,3,計算 $$[14 + (-34)] \div 5 + |(-9) \times (-4) - 5|$$ 的值。,,27,PASS,,1,6.0,7.5,20.0,10.0,10.0,20.4,5,3,5,2.4,40.4,0.0,0.0,True,15,5.0,12,4,3158,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.06
338027cb-cead-4132-9d57-b7be5d589a75,5a716f68-9854-4ba9-aeb2-c15bf5494d5e,1,計算 $$[(-14) + 74] \div 10 + |(-5) \times (-5) - 5|$$ 的值。,,26,PASS,,1,6.0,7.5,20.0,10.0,10.0,20.4,5,3,5,2.4,40.4,0.0,0.0,True,15,5.0,12,4,3158,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.05
dd3cc571-bf2b-44f6-870d-eceb8f4e2879,5a716f68-9854-4ba9-aeb2-c15bf5494d5e,2,計算 $$[13 + 27] \div 10 + |(-5) \times (-2) - 5|$$ 的值。,,9,PASS,,1,6.0,7.5,20.0,10.0,10.0,20.2,5,3,5,2.2,40.2,0.0,0.0,True,15,5.0,11,4,3158,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.07
53ab5ce4-64c3-4f8d-b72a-f25a60b03441,5a716f68-9854-4ba9-aeb2-c15bf5494d5e,3,計算 $$[3 + 45] \div 8 + |5 \times (-10) - 5|$$ 的值。,,61,PASS,,1,6.0,7.5,20.0,10.0,10.0,20.0,5,3,5,2.0,40.0,0.0,0.0,True,15,5.0,10,4,3158,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.05
3f3c9b39-cc41-49ed-9401-077be67a8a87,512097c8-b47f-40ae-8af9-62a3b1a03167,1,計算 $$[18 + 17] \div 5 + |(-1) \times (-5) - 5|$$ 的值。,,7,PASS,,1,6.0,7.5,20.0,10.0,10.0,20.2,5,3,5,2.2,40.2,0.0,0.0,True,15,5.0,11,4,3158,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.08
663bef11-b9c6-4c28-ad5e-4579032f4924,512097c8-b47f-40ae-8af9-62a3b1a03167,2,計算 $$[(-6) + 36] \div 6 + |(-5) \times 6 - 5|$$ 的值。,,40,PASS,,1,6.0,7.5,20.0,10.0,10.0,20.2,5,3,5,2.2,40.2,0.0,0.0,True,15,5.0,11,4,3158,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.07
5c8829dc-fb33-4a78-ba4a-400e8d50bb87,512097c8-b47f-40ae-8af9-62a3b1a03167,3,計算 $$[(-16) + (-32)] \div 6 + |(-3) \times (-4) - 5|$$ 的值。,,-1,PASS,,1,6.0,7.5,20.0,10.0,10.0,20.6,5,3,5,2.6,40.6,0.0,0.0,True,15,5.0,13,4,3158,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.06
ced4fc54-e5b3-4b82-8a2e-51e1aacbf94b,53412448-0736-4fad-b01f-3cbeca9e6db2,1,計算 $$[9 + (-81)] \div 8 + |(-2) \times 6 - 5|$$ 的值。,,8,PASS,,1,6.0,7.5,20.0,10.0,10.0,20.2,5,3,5,2.2,40.2,0.0,0.0,True,15,5.0,11,4,3158,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.06
5073a00e-9cc0-4682-9c6d-a92a4ff5144a,53412448-0736-4fad-b01f-3cbeca9e6db2,2,計算 $$[12 + 4] \div 4 + |2 \times (-9) - 5|$$ 的值。,,27,PASS,,1,6.0,7.5,20.0,10.0,10.0,20.0,5,3,5,2.0,40.0,0.0,0.0,True,15,5.0,10,4,3158,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.07
600b0793-3d54-486e-ac7c-2a7b770ef779,53412448-0736-4fad-b01f-3cbeca9e6db2,3,計算 $$[17 + (-11)] \div 2 + |(-2) \times (-2) - 5|$$ 的值。,,4,PASS,,1,6.0,7.5,20.0,10.0,10.0,20.4,5,3,5,2.4,40.4,0.0,0.0,True,15,5.0,12,4,3158,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.05
7773bfbb-5293-4b00-a06d-cb37176ed8c4,d46c113c-eed8-481c-be09-851470d2b323,1,計算 $$[(-13) + (-2)] \div 5 + |4 \times 10 - 5|$$ 的值。,,32,PASS,,1,6.0,7.5,20.0,10.0,10.0,20.2,5,3,5,2.2,40.2,0.0,0.0,True,15,5.0,11,4,3158,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.06
c2f0f229-c3de-43e5-8b92-422ee6075c36,d46c113c-eed8-481c-be09-851470d2b323,2,計算 $$[(-8) + 68] \div 6 + |1 \times 7 - 5|$$ 的值。,,12,PASS,,1,6.0,7.5,20.0,10.0,10.0,20.0,5,3,5,2.0,40.0,0.0,0.0,True,15,5.0,10,4,3158,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.06
6fad4a23-667b-4191-b13f-306482246d66,d46c113c-eed8-481c-be09-851470d2b323,3,計算 $$[(-4) + (-46)] \div 10 + |6 \times (-2) - 5|$$ 的值。,,12,PASS,,1,6.0,7.5,20.0,10.0,10.0,20.4,5,3,5,2.4,40.4,0.0,0.0,True,15,5.0,12,4,3158,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.05
