item_id,run_id,repetition_index,generated_question,generated_answer,generated_correct_answer,status,error_log,included_in_avg,score_l2_1_contract,score_l2_2_purity,score_l3_total,score_l3_1_internal,score_l3_2_external,score_l4_total,score_l4_1_numeric,score_l4_2_visual,score_l4_3_artifacts,score_l4_4_mqi,score_math_total,score_math_quality,score_math_difficulty,score_math_sympy_verified,score_math_hygiene_score,score_math_is,complexity_math_ops,complexity_inference_steps,complexity_ast_nodes,complexity_loop_depth,student_input_test,student_input_result,exec_time_ms
1b56709a-ac25-4aed-ae75-74cc1b65350c,6b164817-4762-4ab7-b17c-4adb6110ca65,1,計算 $$[(4 \times 3) + 12] \div 3 + |(-7) \times (-5) - 18|$$ 的值。,,25,PASS,,1,6.0,7.5,20.0,10.0,10.0,22.05,5,3,5,2.8,42.05,0.0,0.0,True,15,6.25,14,5,3579,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.04
651c14af-28b3-4a09-bec5-28fefa494602,bcdaae1a-867d-41fc-9b9c-72cdaa49bacf,3,計算 $$[(59 \times 4) + (-20)] \div 18 - |(-3) \times (-1) - 18 + 3| + (8 \times 2^{2} - 19)$$ 的值。,,13,PASS,,1,6.0,7.5,20.0,10.0,10.0,24.9,5,4,5,3.4,44.9,0.0,0.0,True,15,7.5,17,6,3579,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.03
cafa94c9-79ba-4156-aa6a-61d9ed848e85,e592a9c6-4e74-4e08-8171-069ccc1e6c77,1,計算 $$[(11 \times 3) + (-1)] \div 16 - |4 \times (-7) - 14 + (-8)| + (10 \times 4^{2} - 2)$$ 的值。,,110,PASS,,1,6.0,7.5,13.0,10.0,3.0,24.9,5,4,5,3.4,37.9,0.0,0.0,False,15,7.5,17,6,3579,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.04
bcb6bdcf-4eb1-4991-8979-3b7687dbaef2,e592a9c6-4e74-4e08-8171-069ccc1e6c77,2,計算 $$[((-38) \times 3) + (-12)] \div 14 - |(-7) \times (-5) - 19 + (-5)| + ((-7) \times 3^{3} - 16)$$ 的值。,,-225,PASS,,1,6.0,7.5,18.0,10.0,8.0,25.7,5,4,5,4.2,43.7,0.0,0.0,False,15,7.5,21,6,3579,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.04
7b906f9a-8b9a-4336-95b8-a2e1fa6da086,e592a9c6-4e74-4e08-8171-069ccc1e6c77,3,計算 $$[(121 \times 2) + (-2)] \div 20 - |5 \times 8 - 7 + 8| + ((-9) \times 2^{3} - 4)$$ 的值。,,-105,PASS,,1,6.0,7.5,13.0,10.0,3.0,23.7,4,4,5,3.2,36.7,0.0,0.0,False,15,7.5,16,6,3579,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.04
56a40ec2-2997-4d15-931c-b75838cea036,669ce6f4-7ada-4623-a8df-60217fcf01f6,1,計算 $$- [(1 \times 5) + (-2)] \div 3 + |9 \times 2 - 13 + (-1)| - (2 \times 4 - 8) + (-20)$$ 的值。,,-17,PASS,,1,6.0,7.5,20.0,10.0,10.0,22.85,5,3,5,3.6,42.85,0.0,0.0,True,15,6.25,18,5,3516,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.05
bafcdde7-1b07-42cc-8115-4e3c6857c360,669ce6f4-7ada-4623-a8df-60217fcf01f6,2,計算 $$- [((-41) \times 5) + 16] \div 21 + |11 \times (-9) - 17 + (-2)| - (4 \times 4 - 6) + (-21)$$ 的值。,,96,PASS,,1,6.0,7.5,20.0,10.0,10.0,23.05,5,3,5,3.8,43.05,0.0,0.0,True,15,6.25,19,5,3516,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.06
d3a6e055-cfce-44cb-b224-5b3764b44e42,669ce6f4-7ada-4623-a8df-60217fcf01f6,3,計算 $$- [(51 \times 2) + 6] \div 18 + |13 \times 2 - 19 + 6| - ((-7) \times 3 - 7) + 26$$ 的值。,,61,PASS,,1,6.0,7.5,20.0,10.0,10.0,22.45,5,3,5,3.2,42.45,0.0,0.0,True,15,6.25,16,5,3516,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.16
4c3f4a95-e558-47ab-9ece-3c124569f119,11806aa9-d4d3-4fbe-aa02-4daa0d0b1816,1,計算 $$- [((-5) \times 5) + 19] \div 3 + |7 \times 4 - 14 + 5| - ((-7) \times 3 - 6) + 48$$ 的值。,,96,PASS,,1,6.0,7.5,20.0,10.0,10.0,22.65,5,3,5,3.4,42.65,0.0,0.0,True,15,6.25,17,5,3516,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.06
87f6b4df-724b-4617-adbc-7b20541dc792,11806aa9-d4d3-4fbe-aa02-4daa0d0b1816,2,計算 $$- [((-1) \times 4) + (-8)] \div 12 + |8 \times (-3) - 12 + 1| - ((-3) \times 2 - 5) + 4$$ 的值。,,51,PASS,,1,6.0,7.5,20.0,10.0,10.0,23.05,5,3,5,3.8,43.05,0.0,0.0,True,15,6.25,19,5,3516,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.05
c14c455c-6574-4c69-9a1e-3f04720489af,11806aa9-d4d3-4fbe-aa02-4daa0d0b1816,3,計算 $$- [(2 \times 4) + 10] \div 2 + |(-10) \times 9 - 8 + 6| - (7 \times 3 - 1) + 38$$ 的值。,,101,PASS,,1,6.0,7.5,20.0,10.0,10.0,22.45,5,3,5,3.2,42.45,0.0,0.0,True,15,6.25,16,5,3516,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.04
8fcc6d54-15e9-43f4-8759-fe5f043d5105,4ec5df36-7594-4f09-85d0-d9b24de98382,1,計算 $$- [(16 \times 5) + (-20)] \div 10 + |(-10) \times 8 - 16 + (-3)| - (4 \times 3 - 4) + 5$$ 的值。,,90,PASS,,1,6.0,7.5,20.0,10.0,10.0,22.85,5,3,5,3.6,42.85,0.0,0.0,True,15,6.25,18,5,3516,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.05
5504fd44-3cc8-4175-aeaf-44681a867a64,4ec5df36-7594-4f09-85d0-d9b24de98382,2,計算 $$- [((-57) \times 4) + 18] \div 30 + |1 \times 1 - 1 + 3| - ((-3) \times 4 - 1) + 24$$ 的值。,,47,PASS,,1,6.0,7.5,20.0,10.0,10.0,22.45,5,3,5,3.2,42.45,0.0,0.0,True,15,6.25,16,5,3516,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.04
f8991133-9a73-491c-99dd-36ea60052714,4ec5df36-7594-4f09-85d0-d9b24de98382,3,計算 $$- [((-8) \times 5) + (-16)] \div 14 + |11 \times (-3) - 18 + 3| - (5 \times 3 - 5) + (-9)$$ 的值。,,33,PASS,,1,6.0,7.5,20.0,10.0,10.0,23.05,5,3,5,3.8,43.05,0.0,0.0,True,15,6.25,19,5,3516,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.21
