item_id,run_id,repetition_index,generated_question,generated_answer,generated_correct_answer,status,error_log,included_in_avg,score_l2_1_contract,score_l2_2_purity,score_l3_total,score_l3_1_internal,score_l3_2_external,score_l4_total,score_l4_1_numeric,score_l4_2_visual,score_l4_3_artifacts,score_l4_4_mqi,score_math_total,score_math_quality,score_math_difficulty,score_math_sympy_verified,score_math_hygiene_score,score_math_is,complexity_math_ops,complexity_inference_steps,complexity_ast_nodes,complexity_loop_depth,student_input_test,student_input_result,exec_time_ms
ddce9683-45e0-44d6-8bd3-36793d238846,1475be99-4de8-45ac-a604-d3d0585005bc,1,計算 $$[(1 \times 3) + 11] \div 2 + |(-8) \times (-7) - 3|$$ 的值。,,60,PASS,,1,6.0,7.5,20.0,10.0,10.0,22.05,5,3,5,2.8,42.05,0.0,0.0,True,15,6.25,14,5,3507,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.02
859e85e8-2260-41e6-9234-4cb7f36c5a4b,cdbeb3ee-7162-42b4-acf6-f176452ed5bc,3,計算 $$[(17 \times 3) + 6] \div 19 - |4 \times (-6) - 18| + (14 \times 4 - 7)$$ 的值。,,10,PASS,,1,6.0,7.5,20.0,10.0,10.0,23.5,5,3,5,3.0,43.5,0.0,0.0,True,15,7.5,15,6,3443,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.02
71202b0d-333c-4d4d-ae11-4be57e975072,07d5bd41-899b-4037-95c3-4baf1496b185,1,計算 $$[(54 \times 3) + (-9)] \div 17 - |1 \times (-3) - 2| + (10 \times 5 - 5)$$ 的值。,,49,PASS,,1,6.0,7.5,20.0,10.0,10.0,23.7,5,3,5,3.2,43.7,0.0,0.0,True,15,7.5,16,6,3453,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.02
098a7142-2e21-42aa-b6ed-130cc592725a,07d5bd41-899b-4037-95c3-4baf1496b185,2,計算 $$[((-9) \times 5) + (-6)] \div 17 - |3 \times 2 - 10| + ((-13) \times 5 - 2)$$ 的值。,,-74,PASS,,1,6.0,7.5,20.0,10.0,10.0,24.1,5,3,5,3.6,44.1,0.0,0.0,True,15,7.5,18,6,3453,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.03
b923caf9-f1c0-47cf-ba9c-6269ab1ba9eb,07d5bd41-899b-4037-95c3-4baf1496b185,3,計算 $$[((-16) \times 4) + (-13)] \div 7 - |2 \times (-5) - 13| + ((-8) \times 2 - 10)$$ 的值。,,-60,PASS,,1,6.0,7.5,20.0,10.0,10.0,24.3,5,3,5,3.8,44.3,0.0,0.0,True,15,7.5,19,6,3453,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.02
ca926a1e-810a-497c-9dbf-cff930b56fa4,b8dd5ecd-e388-4771-bd8d-6889551879e3,1,計算 $$[((-32) \times 4) + (-15)] \div 11 - |(-3) \times 6 - 18 + 5| + ((-11) \times 2 - 8)$$ 的值。,,-74,PASS,,1,6.0,7.5,20.0,10.0,10.0,24.3,5,3,5,3.8,44.3,0.0,0.0,True,15,7.5,19,6,3522,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.04
13cf2618-abb9-4fae-9d1e-6c1fb0e09cbf,b8dd5ecd-e388-4771-bd8d-6889551879e3,2,計算 $$[((-10) \times 3) + 6] \div 12 - |11 \times 2 - 20 + 2| + (11 \times 3 - 6)$$ 的值。,,21,PASS,,1,6.0,7.5,20.0,10.0,10.0,23.5,5,3,5,3.0,43.5,0.0,0.0,True,15,7.5,15,6,3522,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.03
665d9d2e-e76d-4997-bdfe-02a2dff804de,b8dd5ecd-e388-4771-bd8d-6889551879e3,3,計算 $$[(22 \times 5) + 16] \div 18 - |13 \times (-7) - 2 + (-6)| + (12 \times 4 - 7)$$ 的值。,,-51,PASS,,1,6.0,7.5,20.0,10.0,10.0,23.7,5,3,5,3.2,43.7,0.0,0.0,True,15,7.5,16,6,3522,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.02
7812972a-be09-4afd-b7a1-02e72deae738,70d32043-52b3-41ea-8001-a829348154a1,1,計算 $$- [((-19) \times 4) + 22] \div 27 + |(-7) \times (-2) - 18| - ((-6) \times 5 - 3) + 4 + (-1)^{2}$$ 的值。,,44,PASS,,1,6.0,7.5,13.0,10.0,3.0,24.25,5,4,5,4.0,37.25,0.0,0.0,False,15,6.25,20,5,3443,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.02
3b04fe63-e8be-4ccf-a7ea-7c5a31aa8999,70d32043-52b3-41ea-8001-a829348154a1,2,計算 $$- [((-88) \times 4) + 7] \div 23 + |(-6) \times 3 - 10| - ((-14) \times 3 - 3) + (-36) + (-1)^{2}$$ 的值。,,53,PASS,,1,6.0,7.5,13.0,10.0,3.0,24.25,5,4,5,4.0,37.25,0.0,0.0,False,15,6.25,20,5,3443,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.03
6419f877-50e8-403d-8418-f0a852b5cc99,70d32043-52b3-41ea-8001-a829348154a1,3,計算 $$- [(27 \times 3) + (-1)] \div 20 + |(-6) \times 6 - 9| - ((-2) \times 3 - 10) + (-30) + (-1)^{2}$$ 的值。,,28,PASS,,1,6.0,7.5,13.0,10.0,3.0,24.25,5,4,5,4.0,37.25,0.0,0.0,False,15,6.25,20,5,3443,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.02
60915f83-af70-431d-bc73-fd92a222c4c9,888ba1bc-c6de-4154-b61e-fd6d0a852bc5,1,計算 $$- [((-30) \times 4) + 15] \div 15 + |1 \times (-1) - 10 + (-3)| - (9 \times 3 - 8) + 40 + (-1)^{2}$$ 的值。,,43,PASS,,1,6.0,7.5,13.0,10.0,3.0,23.85,5,4,5,3.6,36.85,0.0,0.0,False,15,6.25,18,5,3507,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.03
3dd00177-3bba-48aa-9eff-9a7ba322736a,888ba1bc-c6de-4154-b61e-fd6d0a852bc5,2,計算 $$- [((-26) \times 4) + (-4)] \div 27 + |(-5) \times 8 - 17 + 3| - ((-16) \times 2 - 5) + 38 + (-1)^{2}$$ 的值。,,134,PASS,,1,6.0,7.5,13.0,10.0,3.0,24.25,5,4,5,4.0,37.25,0.0,0.0,False,15,6.25,20,5,3507,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.03
6b8dc27e-2367-4e27-9853-e0fae29d7039,888ba1bc-c6de-4154-b61e-fd6d0a852bc5,3,計算 $$- [((-68) \times 2) + (-4)] \div 14 + |11 \times 2 - 11 + (-3)| - (9 \times 3 - 7) + 41 + (-1)^{2}$$ 的值。,,40,PASS,,1,6.0,7.5,13.0,10.0,3.0,24.05,5,4,5,3.8,37.05,0.0,0.0,False,15,6.25,19,5,3507,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.03
ad132e9c-6689-443d-a9d8-641a2f9aacd3,b720e356-2f9b-4b6b-9aba-a7e2d53929c1,1,計算 $$- [((-2) \times 4) + (-14)] \div 22 + |(-8) \times (-10) - 14| - ((-4) \times 5 - 6) + 50 + (-1)^{2}$$ 的值。,,144,PASS,,1,6.0,7.5,18.0,10.0,8.0,24.45,5,4,5,4.2,42.45,0.0,0.0,False,15,6.25,21,5,3453,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.02
b90f8d1c-ec04-4b92-a0d6-d8cb7c3cfaab,b720e356-2f9b-4b6b-9aba-a7e2d53929c1,2,計算 $$- [(67 \times 3) + 9] \div 14 + |(-6) \times (-10) - 6| - ((-17) \times 2 - 4) + 36 + (-1)^{2}$$ 的值。,,114,PASS,,1,6.0,7.5,13.0,10.0,3.0,24.05,5,4,5,3.8,37.05,0.0,0.0,False,15,6.25,19,5,3453,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.03
d9627bb7-c306-43a0-80d7-5a0bf2b397a6,b720e356-2f9b-4b6b-9aba-a7e2d53929c1,3,計算 $$- [((-68) \times 4) + 12] \div 20 + |7 \times 4 - 2| - ((-15) \times 4 - 3) + (-48) + (-1)^{2}$$ 的值。,,55,PASS,,1,6.0,7.5,13.0,10.0,3.0,24.05,5,4,5,3.8,37.05,0.0,0.0,False,15,6.25,19,5,3453,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.03
