item_id,run_id,repetition_index,generated_question,generated_answer,generated_correct_answer,status,error_log,included_in_avg,score_l2_1_contract,score_l2_2_purity,score_l3_total,score_l3_1_internal,score_l3_2_external,score_l4_total,score_l4_1_numeric,score_l4_2_visual,student_input_test,student_input_result,exec_time
e4331a93-4341-49d9-932d-fd1071774bc4,42410d42-054e-4a21-a8cd-4e1c77b2d8cf,11,已知 __ $LATEX$ _ $BLOCK$ _ $0$ __，求 __ $LATEX$ _ $BLOCK$ _ $1$ __。,"f''(x) = 36x-18
f'(x) = 18x^2-18x+6","f''(x) = 36x-18
f'(x) = 18x^2-18x+6",ERROR,ValueError: max() iterable argument is empty,0,10,6,30,15,15,0,0,0,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.0001
7003083e-366c-4475-9d96-8556ad20604c,42410d42-054e-4a21-a8cd-4e1c77b2d8cf,12,已知 __ $LATEX$ _ $BLOCK$ _ $0$ __，求 __ $LATEX$ _ $BLOCK$ _ $1$ __。,f^(4)(x) = 24,f^(4)(x) = 24,ERROR,ValueError: max() iterable argument is empty,0,10,10,30,15,15,0,0,0,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.0001
590184f4-bb1b-4c8a-b6f2-3e40ae44121e,42410d42-054e-4a21-a8cd-4e1c77b2d8cf,13,,,,ERROR,ValueError: Sample larger than population or is negative,0,0,0,0,0,0,0,0,0,,,
6905f6c4-4e0d-4d1a-93a1-e3ca3d623043,42410d42-054e-4a21-a8cd-4e1c77b2d8cf,14,已知 __ $LATEX$ _ $BLOCK$ _ $0$ __，求 __ $LATEX$ _ $BLOCK$ _ $1$ __。,f''(x) = 30x+20,f''(x) = 30x+20,ERROR,ValueError: max() iterable argument is empty,0,10,10,30,15,15,0,0,0,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.0
5349ab70-4e31-4840-9cf1-f41f773eedd8,42410d42-054e-4a21-a8cd-4e1c77b2d8cf,15,已知 __ $LATEX$ _ $BLOCK$ _ $0$ __，求 __ $LATEX$ _ $BLOCK$ _ $1$ __。,f'(x) = 15x^4+18x^2-5,f'(x) = 15x^4+18x^2-5,ERROR,ValueError: max() iterable argument is empty,0,10,7,30,15,15,0,0,0,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.0
416c8055-f021-4b33-8c6b-aa2698684723,42410d42-054e-4a21-a8cd-4e1c77b2d8cf,16,,,,ERROR,ValueError: Sample larger than population or is negative,0,0,0,0,0,0,0,0,0,,,
bf9a2ef1-5142-48ea-bade-c7f6c2cd78ee,42410d42-054e-4a21-a8cd-4e1c77b2d8cf,17,,,,ERROR,ValueError: Sample larger than population or is negative,0,0,0,0,0,0,0,0,0,,,
90956524-b4c8-46fc-b497-abdecc40ac36,42410d42-054e-4a21-a8cd-4e1c77b2d8cf,18,已知 __ $LATEX$ _ $BLOCK$ _ $0$ __，求 __ $LATEX$ _ $BLOCK$ _ $1$ __。,f^(4)(x) = 1080x-168,f^(4)(x) = 1080x-168,ERROR,ValueError: max() iterable argument is empty,0,10,10,30,15,15,0,0,0,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.0
e24171f1-2fb7-44ba-8b27-8448f29af24f,42410d42-054e-4a21-a8cd-4e1c77b2d8cf,19,已知 __ $LATEX$ _ $BLOCK$ _ $0$ __，求 __ $LATEX$ _ $BLOCK$ _ $1$ __。,f'(x) = 24x^3-4x-4,f'(x) = 24x^3-4x-4,ERROR,ValueError: max() iterable argument is empty,0,10,7,30,15,15,0,0,0,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.0
f1c03423-0495-4118-997e-788229109ad6,42410d42-054e-4a21-a8cd-4e1c77b2d8cf,20,已知 __ $LATEX$ _ $BLOCK$ _ $0$ __，求 __ $LATEX$ _ $BLOCK$ _ $1$ __。,f^(4)(x) = 192,f^(4)(x) = 192,ERROR,ValueError: max() iterable argument is empty,0,10,10,30,15,15,0,0,0,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.0
27d5ef03-7103-49c1-b3ac-a7c8d6b406bc,da019497-93b7-4579-a1f8-b1e423b5cbb7,1,,,,ERROR,ValueError: Sample larger than population or is negative,0,0,0,0,0,0,0,0,0,,,
0bd91d3a-17a6-40d3-b869-48aa5d35c16b,da019497-93b7-4579-a1f8-b1e423b5cbb7,2,已知 __ $LATEX$ _ $BLOCK$ _ $0$ __，求 __ $LATEX$ _ $BLOCK$ _ $1$ __。,"f'(x) = 8x^3-18x^2
f^(3)(x) = 48x-36","f'(x) = 8x^3-18x^2
f^(3)(x) = 48x-36",ERROR,ValueError: max() iterable argument is empty,0,10,3,30,15,15,0,0,0,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.0001
3f92e1c5-c0a6-4c6c-b76a-c03c62639b7d,da019497-93b7-4579-a1f8-b1e423b5cbb7,3,已知 __ $LATEX$ _ $BLOCK$ _ $0$ __，求 __ $LATEX$ _ $BLOCK$ _ $1$ __。,f''(x) = 108x^2-48x+20,f''(x) = 108x^2-48x+20,ERROR,ValueError: max() iterable argument is empty,0,10,10,30,15,15,0,0,0,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.0001
08051cc1-e2da-4f79-99d8-53417d746772,da019497-93b7-4579-a1f8-b1e423b5cbb7,4,已知 __ $LATEX$ _ $BLOCK$ _ $0$ __，求 __ $LATEX$ _ $BLOCK$ _ $1$ __。,f^(3)(x) = 216x+42,f^(3)(x) = 216x+42,ERROR,ValueError: max() iterable argument is empty,0,10,10,30,15,15,0,0,0,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.0
faf91191-9171-44d1-92d1-8e3f1f66b606,da019497-93b7-4579-a1f8-b1e423b5cbb7,5,已知 __ $LATEX$ _ $BLOCK$ _ $0$ __，求 __ $LATEX$ _ $BLOCK$ _ $1$ __。,f^(3)(x) = 240x^2+240x+30,f^(3)(x) = 240x^2+240x+30,ERROR,ValueError: max() iterable argument is empty,0,10,10,30,15,15,0,0,0,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.0
c2d247eb-2125-4bb5-a286-c26eb6f973ae,da019497-93b7-4579-a1f8-b1e423b5cbb7,6,已知 __ $LATEX$ _ $BLOCK$ _ $0$ __，求 __ $LATEX$ _ $BLOCK$ _ $1$ __。,f^(4)(x) = 96,f^(4)(x) = 96,ERROR,ValueError: max() iterable argument is empty,0,10,10,30,15,15,0,0,0,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.0001
1974c63b-7683-423a-b1f8-f0af9575ea69,da019497-93b7-4579-a1f8-b1e423b5cbb7,7,已知 __ $LATEX$ _ $BLOCK$ _ $0$ __，求 __ $LATEX$ _ $BLOCK$ _ $1$ __。,"f^(3)(x) = 60
f'(x) = 30x^2+12x-5","f^(3)(x) = 60
f'(x) = 30x^2+12x-5",ERROR,ValueError: max() iterable argument is empty,0,10,6,30,15,15,0,0,0,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.0
83f52746-ecc0-4471-ab24-ce6c3ef742e3,da019497-93b7-4579-a1f8-b1e423b5cbb7,8,已知 __ $LATEX$ _ $BLOCK$ _ $0$ __，求 __ $LATEX$ _ $BLOCK$ _ $1$ __。,f'(x) = 20x^3-21x^2-10x+2,f'(x) = 20x^3-21x^2-10x+2,ERROR,ValueError: max() iterable argument is empty,0,10,7,30,15,15,0,0,0,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.0
b1e368fe-386a-4757-9153-1fd872cd0ec8,da019497-93b7-4579-a1f8-b1e423b5cbb7,9,已知 __ $LATEX$ _ $BLOCK$ _ $0$ __，求 __ $LATEX$ _ $BLOCK$ _ $1$ __。,f'(x) = 35x^4+16x^3-4,f'(x) = 35x^4+16x^3-4,ERROR,ValueError: max() iterable argument is empty,0,10,7,30,15,15,0,0,0,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.0
dc0ed3eb-865d-4b4b-bd67-586c302f6132,da019497-93b7-4579-a1f8-b1e423b5cbb7,10,已知 __ $LATEX$ _ $BLOCK$ _ $0$ __，求 __ $LATEX$ _ $BLOCK$ _ $1$ __。,"f'(x) = 24x^2-20x+2
f''(x) = 48x-20","f'(x) = 24x^2-20x+2
f''(x) = 48x-20",ERROR,ValueError: max() iterable argument is empty,0,10,3,30,15,15,0,0,0,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.0
d6e0a4ba-f21a-4d38-b362-e232befce7fe,da019497-93b7-4579-a1f8-b1e423b5cbb7,11,已知 __ $LATEX$ _ $BLOCK$ _ $0$ __，求 __ $LATEX$ _ $BLOCK$ _ $1$ __。,"f''(x) = 48x^2-48x
f'(x) = 16x^3-24x^2-2","f''(x) = 48x^2-48x
f'(x) = 16x^3-24x^2-2",ERROR,ValueError: max() iterable argument is empty,0,10,6,30,15,15,0,0,0,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.0001
e678278d-0f3b-4853-bb96-2ca8c6831b04,da019497-93b7-4579-a1f8-b1e423b5cbb7,12,,,,ERROR,ValueError: Sample larger than population or is negative,0,0,0,0,0,0,0,0,0,,,
cea71be1-82a7-4316-af8c-eea2c82d3114,da019497-93b7-4579-a1f8-b1e423b5cbb7,13,已知 __ $LATEX$ _ $BLOCK$ _ $0$ __，求 __ $LATEX$ _ $BLOCK$ _ $1$ __。,f'(x) = 20x^3-6x^2-2x-4,f'(x) = 20x^3-6x^2-2x-4,ERROR,ValueError: max() iterable argument is empty,0,10,7,30,15,15,0,0,0,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.0
078c0e40-3718-4fc2-9113-4ee22b5c088f,da019497-93b7-4579-a1f8-b1e423b5cbb7,14,,,,ERROR,ValueError: Sample larger than population or is negative,0,0,0,0,0,0,0,0,0,,,
73e7dc96-9921-4196-831f-39c60a6fc868,da019497-93b7-4579-a1f8-b1e423b5cbb7,15,,,,ERROR,ValueError: Sample larger than population or is negative,0,0,0,0,0,0,0,0,0,,,
f9172daa-da35-4e08-b36b-68050f7525b1,da019497-93b7-4579-a1f8-b1e423b5cbb7,16,已知 __ $LATEX$ _ $BLOCK$ _ $0$ __，求 __ $LATEX$ _ $BLOCK$ _ $1$ __。,"f^(3)(x) = 96x-36
f'(x) = 16x^3-18x^2+16x+6","f^(3)(x) = 96x-36
f'(x) = 16x^3-18x^2+16x+6",ERROR,ValueError: max() iterable argument is empty,0,10,6,30,15,15,0,0,0,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.0001
2e8dacb4-78d9-44e3-a218-2e4708a4ed15,da019497-93b7-4579-a1f8-b1e423b5cbb7,17,,,,ERROR,ValueError: Sample larger than population or is negative,0,0,0,0,0,0,0,0,0,,,
6b165ca2-1758-46a2-adab-243845f7bf6a,da019497-93b7-4579-a1f8-b1e423b5cbb7,18,已知 __ $LATEX$ _ $BLOCK$ _ $0$ __，求 __ $LATEX$ _ $BLOCK$ _ $1$ __。,"f''(x) = 80x^3+108x^2+48x+18
f^(4)(x) = 480x+216","f''(x) = 80x^3+108x^2+48x+18
f^(4)(x) = 480x+216",ERROR,ValueError: max() iterable argument is empty,0,10,6,30,15,15,0,0,0,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.0
6a09c976-2e6e-42a9-9a4b-26c3b3992d2a,da019497-93b7-4579-a1f8-b1e423b5cbb7,19,已知 __ $LATEX$ _ $BLOCK$ _ $0$ __，求 __ $LATEX$ _ $BLOCK$ _ $1$ __。,"f^(3)(x) = 420x^2-240x+6
f'(x) = 35x^4-40x^3+3x^2","f^(3)(x) = 420x^2-240x+6
f'(x) = 35x^4-40x^3+3x^2",ERROR,ValueError: max() iterable argument is empty,0,10,6,30,15,15,0,0,0,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.0
63e0801d-6434-4580-923f-f1071d571904,da019497-93b7-4579-a1f8-b1e423b5cbb7,20,已知 __ $LATEX$ _ $BLOCK$ _ $0$ __，求 __ $LATEX$ _ $BLOCK$ _ $1$ __。,"f'(x) = 30x^4-40x^3+15x^2+2x
f''(x) = 120x^3-120x^2+30x+2","f'(x) = 30x^4-40x^3+15x^2+2x
f''(x) = 120x^3-120x^2+30x+2",ERROR,ValueError: max() iterable argument is empty,0,10,3,30,15,15,0,0,0,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.0
629ef538-ed7f-4ab4-8538-9cf787d86dba,81745be5-2e78-453f-905d-a737428ad405,1,已知 __ $LATEX$ _ $BLOCK$ _ $0$ __，求 __ $LATEX$ _ $BLOCK$ _ $1$ __。,"f'(x) = 12x^2+10x-5
f''(x) = 24x+10","f'(x) = 12x^2+10x-5
f''(x) = 24x+10",ERROR,ValueError: max() iterable argument is empty,0,10,3,30,15,15,0,0,0,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.0001
11d575ad-0031-4ddd-85f2-0849ac39fd94,81745be5-2e78-453f-905d-a737428ad405,2,已知 __ $LATEX$ _ $BLOCK$ _ $0$ __，求 __ $LATEX$ _ $BLOCK$ _ $1$ __。,f'(x) = 40x^3-14x+3,f'(x) = 40x^3-14x+3,ERROR,ValueError: max() iterable argument is empty,0,10,7,30,15,15,0,0,0,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.0
fa8e83a6-ec54-4465-880d-0f3ced684b05,81745be5-2e78-453f-905d-a737428ad405,3,已知 __ $LATEX$ _ $BLOCK$ _ $0$ __，求 __ $LATEX$ _ $BLOCK$ _ $1$ __。,f^(4)(x) = 240,f^(4)(x) = 240,ERROR,ValueError: max() iterable argument is empty,0,10,10,30,15,15,0,0,0,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.0
839772d5-1a81-4b8f-b4d1-e4f13b12aaaa,81745be5-2e78-453f-905d-a737428ad405,4,已知 __ $LATEX$ _ $BLOCK$ _ $0$ __，求 __ $LATEX$ _ $BLOCK$ _ $1$ __。,f'(x) = 16x^3-15x^2-4,f'(x) = 16x^3-15x^2-4,ERROR,ValueError: max() iterable argument is empty,0,10,7,30,15,15,0,0,0,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.0
fe8cede6-6081-4b8d-bdb8-7e6f79b4a9f2,81745be5-2e78-453f-905d-a737428ad405,5,已知 __ $LATEX$ _ $BLOCK$ _ $0$ __，求 __ $LATEX$ _ $BLOCK$ _ $1$ __。,"f''(x) = 30x-10
f'(x) = 15x^2-10x-3","f''(x) = 30x-10
f'(x) = 15x^2-10x-3",ERROR,ValueError: max() iterable argument is empty,0,10,6,30,15,15,0,0,0,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.0
9b6d2d18-c413-4491-afa1-c1887b0eb34f,81745be5-2e78-453f-905d-a737428ad405,6,已知 __ $LATEX$ _ $BLOCK$ _ $0$ __，求 __ $LATEX$ _ $BLOCK$ _ $1$ __。,"f'(x) = 12x^2-2
f''(x) = 24x","f'(x) = 12x^2-2
f''(x) = 24x",ERROR,ValueError: max() iterable argument is empty,0,10,3,30,15,15,0,0,0,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.0
a4aae55b-ab67-4d24-8e7e-0ea26f0ff4e9,81745be5-2e78-453f-905d-a737428ad405,7,已知 __ $LATEX$ _ $BLOCK$ _ $0$ __，求 __ $LATEX$ _ $BLOCK$ _ $1$ __。,f'(x) = 35x^4-16x^3-9,f'(x) = 35x^4-16x^3-9,ERROR,ValueError: max() iterable argument is empty,0,10,7,30,15,15,0,0,0,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.0
0e7e1f20-41be-44a7-9c73-c5087113435d,81745be5-2e78-453f-905d-a737428ad405,8,已知 __ $LATEX$ _ $BLOCK$ _ $0$ __，求 __ $LATEX$ _ $BLOCK$ _ $1$ __。,f''(x) = 20x^3-96x^2+30x-20,f''(x) = 20x^3-96x^2+30x-20,ERROR,ValueError: max() iterable argument is empty,0,10,10,30,15,15,0,0,0,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.0
f7a6b4a1-3e63-49db-9f39-cd45eaa52172,81745be5-2e78-453f-905d-a737428ad405,9,已知 __ $LATEX$ _ $BLOCK$ _ $0$ __，求 __ $LATEX$ _ $BLOCK$ _ $1$ __。,f^(4)(x) = 600x-120,f^(4)(x) = 600x-120,ERROR,ValueError: max() iterable argument is empty,0,10,10,30,15,15,0,0,0,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.0
7311e3b5-50f5-470a-a027-3f3bbf1ece65,81745be5-2e78-453f-905d-a737428ad405,10,已知 __ $LATEX$ _ $BLOCK$ _ $0$ __，求 __ $LATEX$ _ $BLOCK$ _ $1$ __。,f^(3)(x) = 180x^2-48x-60,f^(3)(x) = 180x^2-48x-60,ERROR,ValueError: max() iterable argument is empty,0,10,10,30,15,15,0,0,0,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.0
19a6ac13-7287-4cf6-8112-a0755387ff54,81745be5-2e78-453f-905d-a737428ad405,11,已知 __ $LATEX$ _ $BLOCK$ _ $0$ __，求 __ $LATEX$ _ $BLOCK$ _ $1$ __。,"f''(x) = 120x^3-48x^2-12x+10
f^(3)(x) = 360x^2-96x-12","f''(x) = 120x^3-48x^2-12x+10
f^(3)(x) = 360x^2-96x-12",ERROR,ValueError: max() iterable argument is empty,0,10,6,30,15,15,0,0,0,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.0
64470c13-d909-4c93-b5bd-f6508673935a,81745be5-2e78-453f-905d-a737428ad405,12,已知 __ $LATEX$ _ $BLOCK$ _ $0$ __，求 __ $LATEX$ _ $BLOCK$ _ $1$ __。,"f''(x) = 48x^2+42x
f^(3)(x) = 96x+42","f''(x) = 48x^2+42x
f^(3)(x) = 96x+42",ERROR,ValueError: max() iterable argument is empty,0,10,6,30,15,15,0,0,0,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.0
92403635-6ed4-4055-ab5c-4ea2ae9ede44,81745be5-2e78-453f-905d-a737428ad405,13,已知 __ $LATEX$ _ $BLOCK$ _ $0$ __，求 __ $LATEX$ _ $BLOCK$ _ $1$ __。,f''(x) = 6x-6,f''(x) = 6x-6,ERROR,ValueError: max() iterable argument is empty,0,10,10,30,15,15,0,0,0,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.0
dbd0b08f-bf63-47e6-b572-ed8ec5cb691b,81745be5-2e78-453f-905d-a737428ad405,14,已知 __ $LATEX$ _ $BLOCK$ _ $0$ __，求 __ $LATEX$ _ $BLOCK$ _ $1$ __。,"f''(x) = 54x+14
f'(x) = 27x^2+14x","f''(x) = 54x+14
f'(x) = 27x^2+14x",ERROR,ValueError: max() iterable argument is empty,0,10,6,30,15,15,0,0,0,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.0
202275ba-c8c1-4c08-b20a-06c28a3b7071,81745be5-2e78-453f-905d-a737428ad405,15,已知 __ $LATEX$ _ $BLOCK$ _ $0$ __，求 __ $LATEX$ _ $BLOCK$ _ $1$ __。,f'(x) = 15x^2-2x+2,f'(x) = 15x^2-2x+2,ERROR,ValueError: max() iterable argument is empty,0,10,7,30,15,15,0,0,0,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.0
a6a7d960-2ceb-4521-b22b-b5ffc16ad8b3,81745be5-2e78-453f-905d-a737428ad405,16,已知 __ $LATEX$ _ $BLOCK$ _ $0$ __，求 __ $LATEX$ _ $BLOCK$ _ $1$ __。,f^(3)(x) = 6,f^(3)(x) = 6,ERROR,ValueError: max() iterable argument is empty,0,10,10,30,15,15,0,0,0,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.0001
1086a9fb-9798-4daa-b517-81cbf6d47c82,81745be5-2e78-453f-905d-a737428ad405,17,已知 __ $LATEX$ _ $BLOCK$ _ $0$ __，求 __ $LATEX$ _ $BLOCK$ _ $1$ __。,f'(x) = 30x^4+3x^2+14x+9,f'(x) = 30x^4+3x^2+14x+9,ERROR,ValueError: max() iterable argument is empty,0,10,7,30,15,15,0,0,0,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.0
3683b667-3e07-4312-9706-a0a40fdb17c4,81745be5-2e78-453f-905d-a737428ad405,18,已知 __ $LATEX$ _ $BLOCK$ _ $0$ __，求 __ $LATEX$ _ $BLOCK$ _ $1$ __。,f^(3)(x) = 420x^2+144x-36,f^(3)(x) = 420x^2+144x-36,ERROR,ValueError: max() iterable argument is empty,0,10,10,30,15,15,0,0,0,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.0
0e1908ad-337b-43a5-ab7a-a0413967090e,81745be5-2e78-453f-905d-a737428ad405,19,,,,ERROR,ValueError: Sample larger than population or is negative,0,0,0,0,0,0,0,0,0,,,
f5d747c1-7582-4ec2-9ef6-1a6d425030c4,81745be5-2e78-453f-905d-a737428ad405,20,已知 __ $LATEX$ _ $BLOCK$ _ $0$ __，求 __ $LATEX$ _ $BLOCK$ _ $1$ __。,f''(x) = 140x^3+12x^2-30x-2,f''(x) = 140x^3+12x^2-30x-2,ERROR,ValueError: max() iterable argument is empty,0,10,10,30,15,15,0,0,0,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.0
